Region;Nazwa;UE_do_2004;UE_od_2004;R_2004;R_2005;R_2006;R_2007;R_2008;R_2009;R_2010;R_2011;R_2012;R_2013;R_2014;R_2015;R_2016;R_2017;R_2018;R_2019;R_2020;R_2021;;;;
BE10;Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;1;0;52800;53900;55100;55800;55300;54200;56600;55800;56700;56700;57800;59500;59400;60600;61600;63400;60900;66200;;;;
BE21;Prov. Antwerpen;1;0;30600;32400;33000;34400;34800;33200;35100;35700;36700;37000;37600;39100;39900;40900;41900;43400;43000;46900;;;;
BE22;Prov. Limburg (BE);1;0;21400;21800;22800;23800;24400;22700;24100;24900;25400;25600;26600;26900;27400;28300;29100;29700;29200;32300;;;;
BE23;Prov. Oost-Vlaanderen;1;0;23200;23900;24900;26100;26200;25700;27100;27600;28300;28800;29100;30400;31000;32000;32600;33500;33000;36300;;;;
BE24;Prov. Vlaams-Brabant;1;0;27000;28000;29300;30400;30800;30700;31800;32200;33500;33800;34500;35800;36700;37600;38700;39900;36500;39800;;;;
BE25;Prov. West-Vlaanderen;1;0;24400;25200;26600;27800;27800;26800;28400;28900;29800;30400;31200;32000;32800;33700;34500;35700;35200;39000;;;;
BE31;Prov. Brabant wallon;1;0;26600;28400;28000;30000;30800;30500;34600;32100;33600;34900;36200;36900;38600;40200;44300;49600;46500;46500;;;;
BE32;Prov. Hainaut;1;0;17100;17600;18000;18600;19200;18200;19400;19900;20100;20100;20600;21100;21200;21800;22500;22800;22300;24600;;;;
BE33;Prov. Li?ge;1;0;19000;19700;20200;20900;21500;20900;21900;22500;22500;22600;23200;23600;23900;24600;25300;26100;25300;28000;;;;
BE34;Prov. Luxembourg (BE);1;0;17500;18200;19100;19300;19300;18800;19700;20000;19400;19500;20200;20700;20700;21300;21800;22500;22100;24200;;;;
BE35;Prov. Namur;1;0;17900;18600;19300;19700;20400;19900;21200;21300;21800;21900;22300;22600;22900;23500;24100;24500;24100;26300;;;;
BG31;Severozapaden;0;1;5700;6300;6200;6700;7100;6600;6800;7400;7500;7500;8100;8100;8500;9200;10200;10100;10800;12800;;;;
BG32;Severen tsentralen;0;1;5800;6500;6600;7000;7500;7100;7300;7900;8400;8500;9100;9200;9600;10100;10700;11100;11200;12800;;;;b ? ?
BG33;Severoiztochen;0;1;6600;7200;7800;8600;9500;8700;9000;9600;10000;9900;10600;10900;11200;11800;12500;12900;12600;14000;;;;
BG34;Yugoiztochen;0;1;6800;7800;7800;8100;9000;8800;9200;9500;10100;10200;10900;11000;12300;12900;12800;12600;11700;14600;;;;
BG41;Yugozapaden;0;1;11000;12400;14000;16400;18200;17700;19000;19500;19600;19400;20300;21500;22500;23800;25200;27900;27800;31100;;;;
BG42;Yuzhen tsentralen;0;1;5800;6400;6700;7200;7600;7400;7800;8200;8600;8500;8600;9300;9700;10300;11000;11600;12000;12300;;;;
CZ01;Praha;0;1;37100;39800;41800;46400;48500;46400;47700;47800;47700;49500;51400;54200;55800;58700;62300;64600;61700;65800;;;;
CZ02;Strední Cechy;0;1;16500;16800;18000;19600;20300;19000;18500;19500;19600;19700;20900;21800;22800;24300;24700;26800;24500;25700;;;;
CZ03;Jihozápad;0;1;15700;16400;17300;18200;18200;18100;18200;18600;18500;19300;20100;20800;21300;22800;23700;24500;23700;24900;;;;
CZ04;Severozápad;0;1;13600;14200;14700;15800;16200;16300;15800;16000;16000;16300;16700;17600;17600;18600;19000;20100;19000;19800;;;;
CZ05;Severovýchod;0;1;14200;14900;15600;16800;17200;16700;16800;17500;17100;17800;18800;19600;20300;22000;22800;23800;23300;24400;;;;
CZ06;Jihovýchod;0;1;14900;15600;16500;18300;19400;18700;18700;19400;19700;20600;21100;22100;22400;23800;25100;26300;26200;27700;;;;
CZ07;Strední Morava;0;1;13300;13800;14500;15700;16800;16300;16400;17100;17100;17600;18800;19500;20200;21600;22400;23600;22900;24400;;;;
CZ08;Moravskoslezsko;0;1;13400;14800;15300;16800;17700;16600;17000;18000;18200;18000;19200;19900;20500;21600;22800;22800;21600;23600;;;;
DK01;Hovedstaden;1;0;32900;34800;35600;36900;38700;37400;41000;40600;41000;42300;43700;45900;46400;49200;50600;50900;51500;57700;;;;
DK02;Sj?lland;1;0;19600;19900;21100;21500;21500;20800;22200;22500;22700;22800;23100;24600;24600;26000;26800;27500;27600;28800;;;;
DK03;Syddanmark;1;0;24000;24100;26200;27600;28700;27400;29100;29900;29700;30500;31200;31900;32600;33800;34500;35300;35700;37700;;;;
DK04;Midtjylland;1;0;24800;25000;27300;28300;29300;28300;29000;30000;29500;30000;30600;30900;33100;34700;35400;36400;37300;39000;;;;
DK05;Nordjylland;1;0;23000;23400;25400;26700;27500;26500;27400;27700;28000;28500;28700;29700;30400;32200;32600;32900;32900;34100;;;;
DE11;Stuttgart;1;0;33400;33400;35900;38500;38300;34500;38500;41100;41900;42400;43800;45500;45600;47800;49600;48600;46900;49500;;;;
DE12;Karlsruhe;1;0;29600;30400;32000;33700;34700;32100;34400;36100;36100;36300;37500;38200;38700;40100;41300;41700;40300;42400;;;;
DE13;Freiburg;1;0;24800;25200;26700;28000;28900;26700;28800;30700;30800;31400;32700;33100;33600;34600;35700;36200;35200;37000;;;;
DE14;Tübingen;1;0;26800;27400;28800;30700;31800;28900;31800;34100;34400;35000;36100;36800;38200;39400;40600;41200;40300;42500;;;;
DE21;Oberbayern;1;0;38000;38700;40000;42200;41800;40400;42700;45700;46200;47200;48600;49700;51200;53400;54100;55200;53800;56600;;;;
DE22;Niederbayern;1;0;24300;24700;25600;27200;27600;26600;29400;31500;31100;31700;33400;33600;34600;36100;36200;36700;36200;38100;;;;
DE23;Oberpfalz;1;0;24700;25400;26400;28400;29300;27900;30300;32500;32900;33500;35400;35800;36700;38700;39300;39700;39300;41400;;;;
DE24;Oberfranken;1;0;22600;22900;24300;25300;25700;25500;27100;28900;29400;29900;30900;32100;33200;34600;35400;35700;35100;37000;;;;
DE25;Mittelfranken;1;0;28500;28400;29500;30900;32000;31000;32600;34700;35600;36000;37300;37900;39100;40700;41900;42400;41500;43600;;;;
DE26;Unterfranken;1;0;25500;26400;27400;28900;29200;27700;29800;32300;32500;32900;34000;34400;35700;37000;37700;38000;37000;38900;;;;
DE27;Schwaben;1;0;25000;25600;26900;27800;28700;27400;29200;31200;31900;32200;33400;34000;35000;36000;36900;37200;36200;38000;;;;
DE30;Berlin;1;0;24400;25100;26100;27300;28700;28200;29600;30900;30700;30900;32100;33000;34700;36300;38100;39000;38400;40200;;;;
DE40;Brandenburg;1;0;17600;18000;18900;19900;20700;20100;21300;22100;22500;23000;24200;24400;25000;26100;26700;27400;27000;28000;;;;
DE50;Bremen;1;0;34700;35500;37200;38800;39500;35500;38000;39500;40900;40900;42100;42300;42900;43900;44500;44000;43200;45600;;;;
DE60;Hamburg;1;0;47500;48600;49100;50800;52500;49900;51700;52200;52700;54100;54900;56300;56700;59100;59800;61200;58100;61900;;;;
DE71;Darmstadt;1;0;38000;38400;39600;41200;41800;39500;41100;42900;42400;42800;44300;44400;45600;46800;47500;47900;46500;48900;;;;
DE72;Gießen;1;0;23300;23800;24500;26000;27000;24700;26000;27400;27300;27500;28800;28900;29800;31000;31900;32400;32000;33600;;;;
DE73;Kassel;1;0;24100;24300;25400;26700;27100;26000;27400;28800;29000;29700;30700;31300;32500;33100;33600;34300;33100;35000;;;;
DE80;Mecklenburg-Vorpommern;1;0;16600;16900;17600;18700;19400;19200;20100;21200;21300;21900;23000;23100;23500;25300;25400;26800;26400;27700;;;;
DE91;Braunschweig;1;0;26800;28100;29300;31500;32500;29900;33400;36500;36600;36900;38800;36700;42800;42800;45100;46400;43600;45500;;;;
DE92;Hannover;1;0;24700;25900;27400;28100;29200;27800;29300;31100;31400;31100;32300;32400;33800;34500;35500;36200;35600;37000;;;;
DE93;Lüneburg;1;0;17600;17800;18500;19600;20100;19200;20200;21600;22200;22700;23700;23900;24200;25000;25800;26500;26300;27400;;;;
DE94;Weser-Ems;1;0;21900;22100;23400;24700;25600;24400;26200;27800;28300;28500;29600;29900;30900;32100;32500;33300;33000;34400;;;;
